Número de Registro,Fecha de ingreso,Denominación del Objeto,Cultura,Materiales,Zona Arqueológica,País
,Día,,,,,
MB 000116,16,Botón,Calamarí,Piedra,Costa Caribe,Colombia
MB 000117,16,Cuenco,Guabas Buga,Arcilla,Valle del Cauca,Colombia
MB 000117,16,Cuenta,Calamarí,Piedra,Costa Caribe,Colombia
MB 000118,16,Vasija,Guabas Buga,Arcilla,Valle del Cauca,Colombia
MB 000118,16,Cuenta,Calamarí,Piedra,Costa Caribe,Colombia
MB 000119,16,Vasija,Guabas Buga,Arcilla,Valle del Cauca,Colombia
MB 000119,16,Cuenta,Calamarí,Piedra,Costa Caribe,Colombia
MB 000120,16,Vasija,Guabas Buga,Arcilla,Valle del Cauca,Colombia
MB 000120,16,Cuenta,Calamarí,Piedra,Costa Caribe,Colombia
MB 000121,16,Vasija,Guabas Buga,Arcilla,Valle del Cauca,Colombia
MB 000121,16,Cuenta,Calamarí,Piedra,Costa Caribe,Colombia
MB 000122,16,Plato,Tuza,Arcilla,Nariño,Colombia
MB 000122,16,Cuenta,Calamarí,Piedra,Costa Caribe,Colombia
MB 000123,16,Cuenta,Calamarí,Piedra,Costa Caribe,Colombia
MB 000124,16,Plato,Nariño,Arcilla,,Colombia
MB 000124,16,Cuenta,Calamarí,Piedra,Costa Caribe,Colombia
MB 000125,16,Vasija,Nariño,Arcilla,Altiplano Nariñense,Colombia
MB 000125,16,Cuenta,Calamarí,Piedra,Costa Caribe,Colombia
MB 000126,16,Plato,Nariño,Arcilla,Altiplano Nariñense,Colombia
MB 000126,16,Cuenta,Calamarí,Piedra,Costa Caribe,Colombia
MB 000127,16,Volante de huso,Calamarí,Piedra,Costa Caribe,Colombia
MB 000128,16,Silbato,Nariño,Arcilla,Altiplano Nariñense,Colombia
MB 000128,16,Volante de huso,Calamarí,Piedra,Costa Caribe,Colombia
MB 000129,16,Silbato,Nariño,Arcilla,Altiplano Nariñense,Colombia
MB 000129,16,Volante de huso,Calamarí,Piedra,Costa Caribe,Colombia
MB 000130,16,Silbato,Nariño,Arcilla,Altiplano Nariñense,Colombia
MB 000130,16,Volante de huso,Calamarí,Piedra,Costa Caribe,Colombia
MB 000131,16,Vasija,Nariño,Arcilla,Altiplano Nariñense,Colombia
MB 000131,16,Figura,Tairona,Piedra,Costa Caribe,Colombia
MB 000132,16,Vasija,Nariño,Arcilla,Altiplano Nariñense,Colombia
MB 000132,16,Figura,Tairona,Piedra,Costa Caribe,Colombia
MB 000133,16,Vasija,Nariño,Arcilla,Altiplano Nariñense,Colombia
MB 000133,16,Figura,Tairona,Piedra,Costa Caribe,Colombia
MB 000134,16,Vasija,Nariño,Arcilla,Altiplano Nariñense,Colombia
MB 000134,16,Figura,Tairona,Piedra,Costa Caribe,Colombia
MB 000135,16,Figura,Nariño,Arcilla,Altiplano Nariñense,Colombia
MB 000136,16,Vaso,Nariño,Arcilla,Altiplano Nariñense,Colombia
MB 000136,16,Figura,Tairona,Piedra,Costa Caribe,Colombia
MB 000137,16,Vasija,Nariño,Arcilla,,Colombia
MB 000137,16,Crisol,Catía,Piedra,Noroccidente,Colombia
MB 000138,16,Copa,Nariño,Arcilla,Altiplano Nariñense,Colombia
MB 000138,16,Crisol,Catía,Piedra,Noroccidente,Colombia
MB 000139,16,Vasija,Nariño,Arcilla,Altiplano Nariñense,Colombia
MB 000140,16,Figura,Nariño,Arcilla,Altiplano Nariñense,Colombia
MB 000140,16,Figura,Calamarí,Concha,Costa Caribe,Colombia
MB 000141,16,Vasija,Nariño,Arcilla,Altiplano Nariñense,Colombia
MB 000141,16,Figura,Calamarí,Concha,Costa Caribe,Colombia
MB 000142,16,Ánfora,Nariño,Arcilla,Altiplano Nariñense,Colombia
MB 000142,16,Arete,Calamarí,Concha,Costa Caribe,Colombia
MB 000143,16,Vasija,Guabas Buga,Arcilla,Valle del Cauca,Colombia
MB 000143,16,Arete,Calamarí,Concha,Costa Caribe,Colombia
MB 000144,16,Cabeza,Tumaco - La Tolita,Arcilla,Costa Pacífica,Colombia
MB 000144,16,Arete,Calamarí,Concha,Costa Caribe,Colombia
MB 000145,16,Figura,Tumaco - La Tolita,Arcilla,Costa Pacífica,Colombia
MB 000145,16,Arete,Calamarí,Concha,Costa Caribe,Colombia
MB 000146,16,Cabeza,Tumaco - La Tolita,Arcilla,Costa Pacífica,Colombia
MB 000146,16,Arete,Calamarí,Lítico,Costa Caribe,Colombia
